LAST SEEN   TYPE      REASON                 OBJECT                       MESSAGE
55m         Normal    Killing                pod/myapp-6484f4cd5-bs87v    Stopping container myapp
55m         Normal    SuccessfulCreate       replicaset/myapp-6484f4cd5   Created pod: myapp-6484f4cd5-kdfqz
55m         Normal    Scheduled              pod/myapp-6484f4cd5-kdfqz    Successfully assigned app/myapp-6484f4cd5-kdfqz to minikube
55m         Normal    Pulled                 pod/myapp-6484f4cd5-kdfqz    Container image "hashicorp/http-echo:0.2.3" already present on machine
55m         Normal    Created                pod/myapp-6484f4cd5-kdfqz    Created container myapp
55m         Normal    Started                pod/myapp-6484f4cd5-kdfqz    Started container myapp
8m40s       Normal    Scheduled              pod/stress-job-xh99l         Successfully assigned app/stress-job-xh99l to minikube
8m40s       Normal    SuccessfulCreate       job/stress-job               Created pod: stress-job-xh99l
8m38s       Normal    Pulling                pod/stress-job-xh99l         Pulling image "polinux/stress"
8m36s       Normal    Pulled                 pod/stress-job-xh99l         Successfully pulled image "polinux/stress" in 1.896s (1.896s including waiting). Image size: 9744175 bytes.
8m35s       Normal    Created                pod/stress-job-xh99l         Created container stress
8m35s       Warning   Failed                 pod/stress-job-xh99l         Error: failed to start container "stress": Error response from daemon: failed to create task for container: failed to create shim task: OCI runtime create failed: runc create failed: unable to start container process: error during container init: exec: "--cpu": executable file not found in $PATH: unknown
8m32s       Warning   BackoffLimitExceeded   job/stress-job               Job has reached the specified backoff limit
